REF_DATE,cpi_trim_mom,cpi_trim_mom_saar,cpi_trim_mm3_mom,cpi_trim_mm3_saar,cpi_trim_yoy,cpi_trim_mom_pct,cpi_trim_mom_saar_pct,cpi_trim_mm3_saar_pct,cpi_trim_yoy_pct
1970-09-01,0.00758698227866566,0.09494063869299585,0.007451290723769995,0.09317248324936855,0.10428868270587,0.758698227866566,9.494063869299584,9.317248324936855,10.428868270587
1970-10-01,0.00772911997727063,0.09679560291096356,0.007170263379558835,0.08951882212025075,0.10246723902883259,0.772911997727063,9.679560291096356,8.951882212025076,10.246723902883259
1970-11-01,0.0061347862100305725,0.0761528873123607,0.007150296155322289,0.08925965289539683,0.09618382017776095,0.6134786210030573,7.6152887312360695,8.925965289539683,9.618382017776096
1970-12-01,0.006754140359654085,0.08412932573723553,0.00687268218231843,0.0856621479507036,0.0944968578286749,0.6754140359654085,8.412932573723552,8.566214795070358,9.44968578286749
1971-01-01,0.0074540101889740765,0.09320789405714747,0.006780978919552913,0.08447619179204158,0.09232284504913113,0.7454010188974076,9.320789405714747,8.447619179204157,9.232284504913114
1971-02-01,0.011187964052358852,0.14283280916622743,0.008465371533662338,0.10645022422135986,0.09827086824604492,1.1187964052358852,14.283280916622743,10.645022422135986,9.827086824604493
1971-03-01,0.00832355544196079,0.10458452437405419,0.008988509894431241,0.1133575218258851,0.09515138047557459,0.832355544196079,10.45845243740542,11.33575218258851,9.515138047557459
1971-04-01,0.00850830311904748,0.10701559160801999,0.009339940871122375,0.11801983925094706,0.0968863593283571,0.850830311904748,10.701559160801999,11.801983925094707,9.688635932835709
1971-05-01,0.0044989988284266265,0.05534412970156577,0.0071102857964783,0.0887404992161347,0.09338964333829103,0.44989988284266264,5.534412970156577,8.87404992161347,9.338964333829104
1971-06-01,0.005617772912076242,0.06953569555236738,0.006208358286516784,0.07709757170858889,0.09222954632504199,0.5617772912076242,6.953569555236738,7.709757170858889,9.222954632504198
1971-07-01,0.0053598974164561965,0.06624913807975985,0.005158889718986356,0.06369376947534833,0.08875079291327115,0.5359897416456196,6.624913807975985,6.369376947534833,8.875079291327115
1971-08-01,0.007102727556815661,0.08864245288993722,0.006026799295116034,0.07476768298445102,0.08973333528509242,0.7102727556815661,8.864245288993722,7.476768298445102,8.973333528509242
1971-09-01,0.006506706858780348,0.08093624103881436,0.00632311061068407,0.07857253865915981,0.08856498738357832,0.6506706858780348,8.093624103881435,7.857253865915981,8.856498738357832
1971-10-01,0.012619141043165654,0.16239461302164782,0.008742858486253889,0.11010913700062352,0.09384726574030777,1.2619141043165654,16.23946130216478,11.010913700062353,9.384726574030777
1971-11-01,0.0064487186478684195,0.08018916166022327,0.008524855516604807,0.10723364137078795,0.0941885660744799,0.644871864786842,8.018916166022327,10.723364137078795,9.418856607447989
1971-12-01,0.00781084495626774,0.09786345641678551,0.008959568215767271,0.11297435766865171,0.09533704318620062,0.7810844956267741,9.786345641678551,11.29743576686517,9.533704318620062
1972-01-01,0.006753649478471229,0.08412298245356098,0.007004404360869131,0.08736773071868686,0.09457558805073263,0.675364947847123,8.412298245356098,8.736773071868686,9.457558805073262
1972-02-01,0.006505295297467777,0.08091804985141793,0.007023263244068917,0.08761212273875874,0.0895067629774089,0.6505295297467777,8.091804985141792,8.761212273875874,8.95067629774089
1972-03-01,0.004365353855514459,0.053660445288790326,0.00587476621048449,0.0728202457893854,0.08522987449812436,0.43653538555144594,5.366044528879033,7.28202457893854,8.522987449812437
1972-04-01,0.007042140570582593,0.08785680418954311,0.005970929907854944,0.07405165902189381,0.08365217464821373,0.7042140570582593,8.78568041895431,7.405165902189381,8.365217464821374
1972-05-01,0.006447508587274319,0.08017357713211837,0.005951667671123792,0.07380489492902531,0.08575422436649305,0.6447508587274319,8.017357713211837,7.380489492902531,8.575422436649305
1972-06-01,0.006838862900546911,0.08522464041682465,0.006776170686134608,0.08441404189675916,0.08707262152396789,0.683886290054691,8.522464041682465,8.441404189675916,8.707262152396789
1972-07-01,0.010280019584772867,0.1305796598207285,0.0078554636908647,0.09844686599004038,0.09239263689107591,1.0280019584772866,13.05796598207285,9.844686599004039,9.239263689107592
1972-08-01,0.005329337652276703,0.0658602758386524,0.007482740045865494,0.09358205664097263,0.09046906144931866,0.5329337652276703,6.586027583865239,9.358205664097262,9.046906144931866
1972-09-01,0.006254558086557968,0.07769117751986365,0.007287971774535847,0.09104779472653046,0.09019587853546684,0.6254558086557968,7.769117751986365,9.104779472653046,9.019587853546685
1972-10-01,0.008214824534032697,0.1031560391735089,0.006599573424289125,0.08213365532630834,0.08545414740338897,0.8214824534032698,10.315603917350892,8.213365532630835,8.545414740338897
1972-11-01,0.00769842533652975,0.09639477962988408,0.007389269319040139,0.09236517306055991,0.0868019550791419,0.7698425336529751,9.639477962988408,9.23651730605599,8.68019550791419
1972-12-01,0.009734312224312784,0.12327313869262557,0.008549187364958412,0.10755424367750366,0.0888761816047885,0.9734312224312783,12.327313869262557,10.755424367750365,8.88761816047885
1973-01-01,0.010522379071996303,0.13383858034242158,0.00931837221094628,0.11773318035552527,0.09295233259905045,1.0522379071996304,13.383858034242158,11.773318035552528,9.295233259905045
1973-02-01,0.012892899646207899,0.16617122474041945,0.011049863647505662,0.14096126184547497,0.09988855748062142,1.2892899646207898,16.617122474041945,14.096126184547497,9.988855748062143
